MRC Psycholinguistic Database Output
WORD                     NSYL
CUSP                     1
CUSS                     1
CUST                     1
CUTE                     1
CUVE                     1
CYME                     1
CYST                     1
CYUL                     1
CZAR                     1
DADE                     1
DAFF                     1
DAFT                     1
DAIN                     1
DALE                     1
DALF                     1
DALT                     1
DAME                     1
DAMN                     1
DAMP                     1
DANG                     1
DANK                     1
DARE                     1
DARG                     1
DARK                     1
DARN                     1
DART                     1
DASE                     1
DASH                     1
DATE                     1
DAUB                     1
DAUK                     1
DAUN                     1
DAUW                     1
DAWE                     1
DAWK                     1
DAZE                     1
DEAD                     1
DEAF                     1
DEAR                     1
DEAS                     1
DEBT                     1
DECK                     1
DEDD                     1
DEED                     1
DEEM                     1
DEEP                     1
DEER                     1
DEES                     1
DEFT                     1
DEIL                     1
DEIS                     1
DELE                     1
DELF                     1
DELL                     1
DEME                     1
DENE                     1
DENT                     1
DEPE                     1
DERE                     1
DERF                     1
DERK                     1
DERM                     1
DERN                     1
DESK                     1
DESS                     1
DEVE                     1
DHAK                     1
DHAL                     1
DHOW                     1
DIAL                     1
DIAN                     1
DIBS                     1
DICE                     1
DICH                     1
DICT                     1
DIEB                     1
DIKE                     1
DILL                     1
DIME                     1
DINE                     1
DING                     1
DINK                     1
DINT                     1
DIRE                     1
DIRK                     1
DIRL                     1
DIRT                     1
DISC                     1
DISH                     1
DISK                     1
DISS                     1
DITE                     1
DITT                     1
DIVE                     1
DIZZ                     1
DOAB                     1
DOAT                     1
DOCK                     1
DOER                     1
DOES                     1
DOFF                     1
DOGE                     1
DOIT                     1
DOLE                     1
DOLF                     1
DOLL                     1
DOLT                     1
DOME                     1
DONE                     1
DONG                     1
DOOB                     1
DOOK                     1
DOOL                     1
DOOM                     1
DOOR                     1
DOPE                     1
DORP                     1
DORR                     1
DOSE                     1
DOSS                     1
DOST                     1
DOTE                     1
DOTH                     1
DOUB                     1
DOUC                     1
DOUM                     1
DOUR                     1
DOUT                     1
DOVE                     1
DOWD                     1
DOWL                     1
DOZE                     1
DRAB                     1
DRAD                     1
DRAG                     1
DRAM                     1
DRAT                     1
DRAW                     1
DRAY                     1
DREE                     1
DREG                     1
DREW                     1
DREY                     1
DRIB                     1
DRIE                     1
DRIP                     1
DROF                     1
DROH                     1
DROP                     1
DROU                     1
DROW                     1
DRUB                     1
DRUG                     1
DRUM                     1
DUAD                     1
DUAL                     1
DUAN                     1
DUCK                     1
DUCT                     1
DUDE                     1
DUET                     1
DUFF                     1
DUKE                     1
DULL                     1
DUMB                     1
DUMP                     1
DUNE                     1
DUNG                     1
DUNT                     1
DUPE                     1
DURE                     1
DUSK                     1
DUST                     1
DYAS                     1
DYKE                     1
DYNE                     1
E'EN                     1
E'ER                     1
EACH                     1
EARL                     1
EARN                     1
EASE                     1
EAST                     1
EATH                     1
EAVE                     1
ECCE                     1
EDGE                     1
EGRE                     1
EIGH                     1
EILD                     1
ELNE                     1
ELSE                     1
ELVE                     1
EMPT                     1
ENDE                     1
EOAN                     1
ERKE                     1
ERME                     1
ERNE                     1
ERSH                     1
ERST                     1
ESNE                     1
ETCH                     1
EUGE                     1
EURE                     1
EWTE                     1
EYAS                     1
EYED                     1
EYER                     1
EYNE                     1
EYOT                     1
EYRE                     1
FACE                     1
FACT                     1
FADE                     1
FAGE                     1
FAIL                     1
FAIN                     1
FAIR                     1
FAKE                     1
FALK                     1
FALL                     1
FALX                     1
FAME                     1
FAMP                     1
FANE                     1
FANG                     1
FARD                     1
FARE                     1
FARL                     1
FARM                     1
FART                     1
FASH                     1
FAST                     1
FATE                     1
FAUN                     1
FAUX                     1
FAWE                     1
FAWN                     1
FAZE                     1
FEAL                     1
FEAR                     1
FEAT                     1
FECK                     1
FEED                     1
FEEL                     1
FEER                     1
FEET                     1
FEFF                     1
FEGS                     1
FELE                     1
FELL                     1
FELT                     1
FEME                     1
FEND                     1
FENT                     1
FERD                     1
FERE                     1
FERN                     1
FERR                     1
FERS                     1
FEST                     1
FETE                     1
FEUD                     1
